-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2018,,,,,,,,
Location: latitude  27.507   longitude -109.892 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 106.94 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2018,303,13.39,32.14,0,1.82,28.39,20.52,69.95
2018,304,16.13,31.48,0,2,29.53,19.35,66.51
2018,305,18.4,29.44,0,1.66,28.61,16.59,53.21
2018,306,18.89,29.05,0,1.68,31.63,16.59,52.89
2018,307,17.97,29.79,0,1.75,30.9,17.59,57.66
2018,308,18.56,29.18,0,1.6,31.21,17.97,55.81
2018,309,18.55,28.79,0,1.39,30.53,19.28,49.15
2018,310,18.6,28.61,0,1.55,31.54,16.89,50.16
2018,311,18.45,28.77,0,1.61,31.85,18.95,49.54
2018,312,18.37,28.24,0,1.58,32.3,17.87,50.2
2018,313,18.07,28.54,0,1.78,31.22,18.82,51.7
2018,314,17.73,29.26,0,1.68,28.69,17.3,58.56
2018,315,11.56,31.32,0,1.74,28.98,18.54,60.11
2018,316,18.17,26.79,0,3,28.99,14.48,48.25
2018,317,18.4,25.28,0,3.1,29.32,11.63,36.96
2018,318,18.01,24.82,0,2.84,27.7,8.9,33.99
2018,319,18.1,25.65,0,1.76,27.33,11.2,40.73
2018,320,14.57,27.36,0,1.39,27.42,14.93,43.19
