-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2015,,,,,,,,
Location: latitude  19.27   longitude -99.63 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2626.86 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2015,110,26.93,24.79,0.05,1.09,26.47,8.76,52.41
2015,111,24.95,26.17,1.04,1.04,27.24,10,53.77
2015,112,22.65,27.21,0.81,0.49,26.12,10.15,61.28
2015,113,22.58,27.12,1.36,0.68,26.54,11.96,53.98
2015,114,25.85,26.34,0.37,1.63,26.54,10.47,57.16
2015,115,24.77,26.68,0.35,1.34,26.16,9.62,54.3
2015,116,25.05,25.39,0.06,1.43,26.44,9.67,53.45
2015,117,21.98,26.64,0,1.56,25.88,10.26,54.38
2015,118,16.93,28.92,0.63,0.96,24.01,9.57,67.06
2015,119,6.93,30.19,5.96,1.22,17.01,10.24,78.26
2015,120,20.31,27.47,1.11,1.59,22.31,9.09,65.69
2015,121,20.14,27.56,0.48,1.35,22.99,9.07,62.81
2015,122,14.27,29.16,0.57,0.73,22.76,9.11,67.36
2015,123,23.01,27.44,0.41,0.88,24.71,9.28,64.39
2015,124,23.13,27.03,2.18,0.78,25.86,9.92,62.89
2015,125,24.44,27.41,1.36,0.92,26.59,9.52,60.85
2015,126,21.74,28.06,6.35,0.75,25.73,10.35,62.3
2015,127,24.36,27.57,4.83,1.16,23.34,10.55,64.96
2015,128,24.19,27.94,2.02,1.09,26.42,10.6,59.62
2015,129,23.72,27.66,0.79,0.92,26.26,9.97,54.45
2015,130,22.22,27.64,2.54,0.94,25.59,11.57,65.28
2015,131,21.24,28.37,2.58,0.8,26.69,11.66,61.42
2015,132,19.38,29.22,9.16,0.81,24.54,10.6,64.02
2015,133,19.71,28.69,5.33,0.99,20.88,10.3,70.87
2015,134,21.57,28.56,3.06,0.99,23.12,9.96,67.4
2015,135,17.32,29.05,4.88,1.19,22.49,9.44,73
2015,136,20.16,28.61,5,0.91,22.92,10.37,73.37
2015,137,21.01,29.68,5.92,1.12,22.59,11.5,72.05
2015,138,25.48,27.41,0.64,1.26,25.93,10.87,61.57
2015,139,18.88,27.94,2.49,1.02,25.18,10.49,65.3
2015,140,19.97,28.36,3.03,0.92,24.41,11.82,68.73
2015,141,23.33,27.85,5.58,1.04,22.71,11.97,72.79
2015,142,17.49,28.6,8.99,0.72,17.36,10.83,80.71
2015,143,21.59,28.46,1.51,0.8,22.89,9.32,72.98
2015,144,15.51,29.46,7.39,1.02,18.18,11.04,82.75
2015,145,22.73,28.37,4.2,0.87,21.32,10.35,77.35
2015,146,23.25,28.29,1.28,1.27,23.54,9.63,71.12
2015,147,21.03,28.24,5.42,1.06,24.32,10.09,71.44
2015,148,18.14,28.33,4.96,0.79,21.05,11.55,74.84
2015,149,14.94,29.06,3.01,1.04,20.89,11,78.6
2015,150,11.5,28.68,9.04,1.02,19.09,10.13,81.49
2015,151,11.81,28.55,2.24,1.06,17.43,9.18,81.52
2015,152,18.31,28.57,2.1,1.28,19.56,8.78,78.1
2015,153,22.34,28.65,5.95,1,21.91,9.29,73.3
2015,154,19.03,28.43,1.41,0.75,18.86,10.89,65.19
2015,155,22.49,28.1,1.44,0.39,24.11,10.35,59.73
2015,156,13.28,30.16,2.12,0.31,20.65,11.26,80.64
2015,157,14.82,30.46,10.58,1.15,21.74,11.62,79.58
2015,158,22.87,29.28,2.96,1.01,23.33,10.48,73.32
2015,159,29.5,25.89,0.32,1.44,24.09,8.9,60.98
2015,160,29.58,25.37,0,1.02,24.66,8.15,55.96
2015,161,28.08,26.95,0.04,0.95,25.97,8.82,61.31
2015,162,26.01,27.89,2.82,1.05,26.44,10.15,66.75
2015,163,23.02,28.58,3.2,1.13,25.15,11.43,70.65
2015,164,19.31,30.52,4.21,0.78,23.38,12.91,77.67
2015,165,13.58,30.16,3.85,0.78,21.35,11.08,79.03
2015,166,13.18,30.1,5.13,1.12,20.59,10.65,78.1
2015,167,21.08,28.66,2.47,0.98,21.28,10.82,76.96
2015,168,19.72,28.77,3.44,0.78,20.64,11.99,80.08
2015,169,10.91,30.64,7.07,1.16,21.06,12.11,79.44
2015,170,20.35,29.12,6.87,1.05,22.95,10.55,75.92
2015,171,15.34,30.04,6.57,1.02,19.49,11.77,82.59
2015,172,18.13,29.02,5.72,0.67,19.78,11.35,81.79
2015,173,20.35,29.86,8.5,0.92,22.07,10.81,74.46
2015,174,22.66,29.2,1.94,1.26,23.09,10.44,69.71
2015,175,20.07,29.3,0.35,1.13,21.36,9.33,74.94
2015,176,18.87,29.18,1.12,0.6,20.49,9.97,77.31
2015,177,18.24,28.96,0.22,0.65,20.97,11.03,77.27
2015,178,17.59,30.16,0,0.94,22.34,10.66,74.98
