Año_ (YEAR),Día (DOY),Tmax (T2M_MAX),Tmin (T2M_MIN),HR (RH2M),Ux (WS2M),Rs (ALLSKY_SFC_SW_DWN),Rl_ (ALLSKY_SFC_LW_DWN),Ptot_ (PRECTOTCORR),Pef_,Tmean_,es_,ea_,delta_,P_,gamma_,Rns_,Rnl_,Rn_,Rso_,Kc_,decada_,ET0,ETc,ETverde,ETazul,UACverde_m3_ha,UACazul_m3_ha,HHverde_m3_ton,HHazul_m3_ton
2022,303,30.47,17.01,56.26,1.74,19.44,31.45,0.0,0.0,23.740000000000002,3.1488786977441134,1.771559155350838,0.1766690198977819,99.70269042922133,0.0663022891354322,14.968800000000002,3.810119410506725,11.158680589493276,26.274469017432278,0.3,1,4.558016277307425,1.3674048831922276,0.0,1.3674048831922276,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,304,30.29,17.63,57.75,1.39,19.58,30.59,0.0,0.0,23.96,3.1653068477404114,1.8279647045700875,0.17871872880903142,99.70269042922133,0.0663022891354322,15.0766,3.8249648955054787,11.25163510449452,26.11024180714582,0.3,1,4.3204224713153705,1.2961267413946111,0.0,1.2961267413946111,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,305,30.36,17.03,58.78,1.77,19.22,30.99,0.0,0.0,23.695,3.136443053407069,1.8436012267926751,0.1762522130143061,99.70269042922133,0.0663022891354322,14.7994,3.7210998681726055,11.078300131827394,25.947808362769056,0.3,1,4.449857142952287,1.3349571428856861,0.0,1.3349571428856861,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,306,29.41,17.68,67.55,2.2,17.55,32.42,0.0,0.0,23.545,3.0621976053732016,2.0685144824295976,0.17486884128858562,99.70269042922133,0.0663022891354322,13.5135,3.003483095530395,10.510016904469605,25.7872492210727,0.3,1,4.0917882658360165,1.2275364797508048,0.0,1.2275364797508048,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,307,28.73,16.94,69.31,2.12,17.57,31.29,0.0,0.0,22.835,2.936986447646237,2.035625306863607,0.16844449081897533,99.70269042922133,0.0663022891354322,13.5289,3.0450861371419515,10.48381386285805,25.62864407802882,0.3,1,3.914324204976144,1.1742972614928433,0.0,1.1742972614928433,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,308,26.76,14.5,50.91,2.21,19.13,29.64,0.0,0.0,20.630000000000003,2.583332807150084,1.3151747321201077,0.1497478432450789,99.70269042922133,0.0663022891354322,14.7301,4.3627906973178145,10.367309302682186,25.47207173056567,0.3,1,4.524654962059143,1.357396488617743,0.0,1.357396488617743,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,309,28.49,14.86,47.84,1.26,19.26,29.49,0.0,0.0,21.674999999999997,2.7895794390738384,1.3345348036529245,0.15837716599892304,99.70269042922133,0.0663022891354322,14.830200000000001,4.485679283049943,10.344520716950058,25.317610020034778,0.3,1,4.108124737325754,1.2324374211977263,0.0,1.2324374211977263,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,310,29.73,16.2,50.92,1.23,19.03,30.44,0.0,0.0,22.965,3.009720171176604,1.5325495111631269,0.16960564730168423,99.70269042922133,0.0663022891354322,14.653100000000002,4.229168360274321,10.42393163972568,25.165335777443268,0.3,1,4.125587893248934,1.23767636797468,0.0,1.23767636797468,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,311,29.85,16.57,58.15,1.51,18.41,31.11,0.0,0.0,23.21,3.0461238282576386,1.771321006131817,0.17181234736206005,99.70269042922133,0.0663022891354322,14.1757,3.7520700759211967,10.423629924078805,25.01532477049796,0.3,1,4.109713209483087,1.2329139628449262,0.0,1.2329139628449262,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,312,29.24,16.08,72.57,2.02,17.78,31.61,0.0,0.0,22.659999999999997,2.9445845809029385,2.1368850303612623,0.16689199653503425,99.70269042922133,0.0663022891354322,13.690600000000002,3.1357739192380882,10.554826080761913,24.86765165250171,0.3,1,3.759863519696505,1.1279590559089514,0.0,1.1279590559089514,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,313,28.75,18.02,72.62,1.76,16.38,32.2,0.0,0.0,23.384999999999998,3.007377415581735,2.183957479195456,0.17340335074935828,99.70269042922133,0.0663022891354322,12.612599999999999,2.7531537862939444,9.859446213706054,24.722389913136006,0.3,2,3.541105032395088,1.0623315097185264,0.0,1.0623315097185264,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,314,26.1,16.58,69.59,1.72,17.38,31.31,0.0,0.0,21.34,2.63405666993869,1.8330400366103345,0.1555662264425846,99.70269042922133,0.0663022891354322,13.3826,3.359971495682982,10.022628504317018,24.57961183115734,0.3,2,3.5123253324527544,1.0536975997358262,0.0,1.0536975997358262,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,315,26.86,14.79,62.55,1.79,17.69,29.45,0.0,0.0,20.825,2.6092936761543135,1.6321131944345229,0.15132721049778455,99.70269042922133,0.0663022891354322,13.621300000000002,3.710743538807301,9.910556461192702,24.4393884290287,0.3,2,3.748813862571111,1.1246441587713334,0.0,1.1246441587713334,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,316,27.78,15.78,58.03,1.54,17.87,29.84,0.0,0.0,21.78,2.762336222361867,1.6029837098365916,0.1592669905987049,99.70269042922133,0.0663022891354322,13.759900000000002,3.890444791701378,9.869455208298625,24.301789429500662,0.3,2,3.8524822664695257,1.1557446799408577,0.0,1.1557446799408577,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,317,27.41,15.84,60.07,1.55,17.42,30.73,0.0,0.0,21.625,2.7258951449807944,1.6374452135899633,0.15795491851690233,99.70269042922133,0.0663022891354322,13.413400000000001,3.7194319105998486,9.693968089400153,24.166883214150708,0.3,2,3.7285359981456567,1.118560799443697,0.0,1.118560799443697,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,318,27.42,16.38,72.08,1.82,15.98,32.14,0.0,0.0,21.9,2.7585157927736077,1.9883381834312164,0.1602891009586542,99.70269042922133,0.0663022891354322,12.3046,2.9076502130926647,9.396949786907335,24.034736783882302,0.3,2,3.356169090403625,1.0068507271210874,0.0,1.0068507271210874,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,319,28.63,17.05,57.06,1.83,14.67,31.29,0.0,0.0,22.84,2.932349144605517,1.673198421911908,0.16848902628587858,99.70269042922133,0.0663022891354322,11.2959,2.868179879194182,8.427720120805818,23.90541572137964,0.3,2,3.7824553415537556,1.1347366024661267,0.0,1.1347366024661267,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,320,28.42,15.75,54.48,1.75,16.71,29.74,0.0,0.0,22.085,2.831405906207165,1.5425499377016634,0.1618757076144458,99.70269042922133,0.0663022891354322,12.866700000000002,3.7153906337139544,9.151309366286046,23.77898415550736,0.3,2,3.962619776184743,1.1887859328554229,0.0,1.1887859328554229,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,321,29.86,14.49,53.02,1.63,17.63,29.3,0.0,0.0,22.175,2.9296318856235803,1.5532908257576223,0.16265235341410703,99.70269042922133,0.0663022891354322,13.575099999999999,4.067366787818948,9.507733212181051,23.655504727638544,0.3,2,4.0816159310746265,1.2244847793223879,0.0,1.2244847793223879,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,322,27.1,15.06,57.06,1.32,16.19,30.09,0.0,0.0,21.080000000000002,2.6491277235125903,1.511592279036284,0.15341376814244506,99.70269042922133,0.0663022891354322,12.466300000000002,3.579155947536818,8.887144052463185,23.53503855988833,0.3,2,3.451088299924971,1.0353264899774912,0.0,1.0353264899774912,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,323,27.65,16.02,55.9,1.61,17.06,29.94,0.0,0.0,21.835,2.7620948574929507,1.5440110253385593,0.15973477225984922,99.70269042922133,0.0663022891354322,13.136199999999999,3.9145316832836836,9.221668316716315,23.417645225224845,0.3,3,3.8039942024773827,1.1411982607432147,0.0,1.1411982607432147,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,324,27.66,14.66,48.5,1.51,17.27,29.14,0.0,0.0,21.16,2.687057552024671,1.3032229127319654,0.15407336488390871,99.70269042922133,0.0663022891354322,13.2979,4.324572577446199,8.973327422553801,23.303382719423364,0.3,3,3.883282187167661,1.1649846561502981,0.0,1.1649846561502981,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,325,28.53,12.62,48.39,1.6,17.2,29.15,0.0,0.0,20.575,2.679550349845862,1.2966344142904125,0.14930490922711318,99.70269042922133,0.0663022891354322,13.244,4.310992609754803,8.933007390245198,23.19230743482461,0.3,3,3.94918274756545,1.1847548242696349,0.0,1.1847548242696349,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
2022,326,27.74,14.68,45.34,1.55,17.32,28.56,0.0,0.0,21.21,2.696805742783092,1.2227317237778539,0.15448682884130735,99.70269042922133,0.0663022891354322,13.336400000000001,4.532931127226657,8.803468872773344,23.08447413585256,0.3,3,3.981916875392442,1.1945750626177325,0.0,1.1945750626177325,146.97877952584741,6424.804947626879,20.686668476544323,904.2652987511441
