Año_ (YEAR),Día (DOY),Tmax (T2M_MAX),Tmin (T2M_MIN),HR (RH2M),Ux (WS2M),Rs (ALLSKY_SFC_SW_DWN),Rl_ (ALLSKY_SFC_LW_DWN),Ptot_ (PRECTOTCORR),Pef_,Tmean_,es_,ea_,delta_,P_,gamma_,Rns_,Rnl_,Rn_,Rso_,Kc_,decada_,ET0,ETc,ETverde,ETazul,UACverde_m3_ha,UACazul_m3_ha,HHverde_m3_ton,HHazul_m3_ton
2014,166,26.04,12.8,62.15,0.72,23.73,29.78,0.47,0.282,19.42,2.4238422189509663,1.5064179390780255,0.1402559568624639,75.407026372732,0.05014567253786678,18.272100000000002,2.8065352529017606,15.465564747098242,39.40042731765294,0.3,1,4.869585880176669,1.4608757640530008,0.282,1.1788757640530008,1936.0980527830957,1313.9083636755593,97.68405917170008,66.29204660320683
2014,167,26.02,12.93,66.43,0.77,24.39,30.25,6.04,3.6239999999999997,19.475,2.428171233025234,1.6130341500986634,0.14067607467596333,75.407026372732,0.05014567253786678,18.7803,2.84122429683545,15.939075703164551,39.39791280371724,0.3,1,4.960476533542933,1.48814296006288,1.48814296006288,0.0,1936.0980527830957,1313.9083636755593,97.68405917170008,66.29204660320683
2014,168,23.14,13.32,73.31,0.59,16.76,31.9,8.0,4.8,18.23,2.1813638987433728,1.5991578741687664,0.1314227420615283,75.407026372732,0.05014567253786678,12.9052,1.294423657249504,11.610776342750496,39.39508536883485,0.3,1,3.526667038670842,1.0580001116012525,1.0580001116012525,0.0,1936.0980527830957,1313.9083636755593,97.68405917170008,66.29204660320683
2014,169,20.88,13.17,81.96,0.89,17.28,31.65,8.85,5.31,17.025,1.9916204492999814,1.6323321202462646,0.12296314162409257,75.407026372732,0.05014567253786678,13.305600000000002,1.3582558641575595,11.947344135842442,39.39195293166224,0.3,1,3.4477113943530386,1.0343134183059115,1.0343134183059115,0.0,1936.0980527830957,1313.9083636755593,97.68405917170008,66.29204660320683
2014,170,21.7,12.4,79.58,1.09,16.82,31.04,7.14,4.284,17.05,2.0179794719585415,1.6059080637846073,0.1231338398112326,75.407026372732,0.05014567253786678,12.951400000000001,1.2826471406426778,11.668752859357323,39.388521980863054,0.3,1,3.4196697340039584,1.0259009202011875,1.0259009202011875,0.0,1936.0980527830957,1313.9083636755593,97.68405917170008,66.29204660320683
2014,171,19.4,12.44,85.03,0.62,16.07,31.02,8.22,4.932,15.919999999999998,1.848305125611919,1.5716138483078148,0.11561612620713273,75.407026372732,0.05014567253786678,12.3739,1.1321136928318785,11.241786307168123,39.38479756831452,0.3,1,3.159301360041079,0.9477904080123236,0.9477904080123236,0.0,1936.0980527830957,1313.9083636755593,97.68405917170008,66.29204660320683
2014,172,21.22,12.05,83.23,0.74,17.23,30.57,7.84,4.704,16.634999999999998,1.9640035742137174,1.634640174818077,0.12032612636199863,75.407026372732,0.05014567253786678,13.267100000000001,1.341885569682428,11.925214430317574,39.380783304288656,0.3,1,3.405038671790731,1.0215116015372192,1.0215116015372192,0.0,1936.0980527830957,1313.9083636755593,97.68405917170008,66.29204660320683
2014,173,21.25,12.37,82.86,1.4,21.76,30.05,3.47,2.082,16.81,1.9813026656756687,1.6417073887788591,0.12150340518592682,75.407026372732,0.05014567253786678,16.755200000000002,2.208051904577448,14.547148095422553,39.37648135460583,0.3,1,4.067079898645081,1.2201239695935242,1.2201239695935242,0.0,1936.0980527830957,1313.9083636755593,97.68405917170008,66.29204660320683
2014,174,20.55,13.54,85.26,1.32,14.31,31.09,8.73,5.238,17.045,1.985295750873061,1.692663157194372,0.12309968410310432,75.407026372732,0.05014567253786678,11.0187,0.7728895570418849,10.245810442958115,39.37189243975842,0.3,1,2.9358612245581783,0.8807583673674535,0.8807583673674535,0.0,1936.0980527830957,1313.9083636755593,97.68405917170008,66.29204660320683
2014,175,20.24,13.1,85.53,1.25,14.86,31.44,14.16,8.496,16.669999999999998,1.9404216946870538,1.6596426754658373,0.1205608045861903,75.407026372732,0.05014567253786678,11.4422,0.8822278186592509,10.559972181340749,39.36701583600206,0.3,1,2.989894854723599,0.8969684564170797,0.8969684564170797,0.0,1936.0980527830957,1313.9083636755593,97.68405917170008,66.29204660320683
